Time(s),A,B,C,D
52.04,28701,28521,60,24412
52.053,31060,31270,48,25465
52.066,30876,29159,54,24327
52.08,31440,29846,54,25220
52.091,31817,28454,53,24893
52.104,31429,28240,42,24608
52.117,28743,30536,57,24036
52.129,29837,29100,53,24727
52.141,29686,30215,59,24372
52.153,29470,28257,49,25445
52.163,31513,31543,41,25705
52.176,28698,30561,57,25022
52.188,28910,28008,41,25027
52.2,29176,29556,42,24758
52.213,28804,31606,54,25210
52.225,29984,28054,49,25594
52.238,28911,28346,49,25506
52.25,28719,30348,52,24326
52.263,30029,30186,49,24491
52.275,28350,29668,45,24234
52.286,29882,28005,46,25842
52.298,29601,30264,46,25289
52.309,30054,29670,56,25599
52.319,31191,30911,41,25519
52.332,28618,29486,57,24071
52.344,30826,29226,56,24704
52.357,28463,31542,56,25701
52.369,28908,28067,52,24069
52.381,28946,31818,46,25857
52.394,29817,31401,46,24044
52.407,31912,31309,43,24962
52.42,30361,29024,58,24422
52.43,28438,31804,50,24282
52.443,29630,28767,52,24266
52.455,30048,29760,58,25628
52.465,31714,29710,45,24191
52.478,31499,30287,58,25541
52.491,30090,28077,48,24479
52.503,28084,28410,42,25983
52.516,31854,30087,46,25102
52.528,29288,28436,40,24698
52.541,28998,30781,40,25130
52.553,28293,28043,43,25615
52.564,31578,28925,47,25581
52.575,31164,30800,41,25840
52.588,30742,30817,56,24340
52.601,31402,31724,50,25766
52.613,30869,31412,47,25749
52.626,31505,29782,59,24576
52.637,31285,29953,54,24873
52.649,31363,28702,46,25892
52.662,31032,30801,51,25407
52.675,29942,29841,44,25646
52.687,29180,28909,44,24135
52.699,29429,30167,56,24986
52.71,29818,28961,55,24584
52.722,30229,28415,50,24353
52.735,31109,28962,45,24455
52.747,28912,31787,40,24116
52.762,30278,28392,56,25744
52.775,31838,29506,41,24365
52.787,28960,30854,41,24302
52.798,29295,31726,59,25982
52.81,30587,31125,47,24284
52.822,30152,28154,42,25542
52.835,31737,28771,54,24372
52.845,28980,28873,60,24279
52.857,29619,31285,41,24066
52.869,29942,31215,54,24735
52.881,28306,30554,42,25569
52.894,28206,28235,59,24527
52.906,31569,30191,57,24281
52.921,30433,31300,51,25576
52.933,30206,29318,49,25885
52.944,31516,31791,58,24806
52.956,29217,28774,42,25567
52.967,28028,30350,55,24046
52.98,30867,28108,50,24380
52.993,28066,31254,49,24505
53.003,31309,31006,60,25959
53.014,29109,28308,49,24160
53.025,29809,30079,48,24631
53.036,30867,29656,55,24201
53.049,31217,29018,41,25421
53.061,29023,30432,46,24212
53.072,29845,29311,41,25259
53.084,31015,31504,42,24010
53.097,30782,29667,45,25306
53.108,28945,31219,57,24486
53.12,30627,31690,50,24212
53.132,31649,30062,40,24357
53.145,29677,29221,50,25411
53.156,29649,29730,44,24053
53.168,28927,30103,45,24372
53.179,30959,31234,58,25092
53.191,30382,29756,56,25026
53.203,31189,31299,53,24087
53.216,29917,30044,43,25617
53.228,30428,29838,54,25110
53.241,28920,29907,43,25901
53.253,29227,30019,57,24368
53.265,30688,31123,52,25446
53.278,30225,29706,56,24647
53.29,29559,30099,50,25544
53.302,31398,29374,40,25396
53.315,30400,28999,44,25038
53.325,31789,28019,41,25873
53.337,30318,28076,60,25451
53.349,31086,28561,42,25808
53.361,31796,30926,58,25791
53.374,30272,29064,58,25818
53.385,28547,30170,51,25572
53.397,28852,28219,46,24801
53.41,28633,31564,60,24879
53.422,28668,31342,53,25106
53.435,29941,29785,42,24808
53.447,30357,30962,49,24227
53.46,29546,31913,57,24620
53.472,30344,30507,59,24285
53.484,30121,30232,55,24289
53.498,29292,30600,41,25728
53.509,29141,30597,57,25016
53.521,31215,29315,46,25828
53.533,28321,29797,58,25276
53.545,29779,30328,48,24691
53.556,30277,30564,40,24258
53.569,30925,30416,40,25374
53.579,28092,31162,53,24456
53.591,30158,31877,48,25802
53.604,29840,29970,57,25226
53.616,29307,28263,51,25464
53.629,28560,28605,49,24789
53.642,31303,31286,42,24691
53.654,29753,30291,46,25824
53.666,30528,31996,58,24570
53.68,28275,31885,53,24159
53.692,28225,31648,43,25944
53.705,28119,30332,57,25095
53.717,29977,28678,47,25406
53.729,28928,28169,60,25942
53.741,28490,30294,59,25144
53.754,30696,29204,46,25900
53.767,28091,31865,40,25701
53.779,28900,31606,43,25184
53.791,29757,28227,53,24581
53.803,29484,30647,59,24600
53.815,29186,28615,57,25402
53.827,30310,28684,50,25197
53.863,30323,29357,42,24330
53.876,28389,31517,41,24746
53.889,30240,31492,41,25786
53.902,30205,29709,56,25757
53.914,31415,30604,52,24145
53.927,31239,28072,47,24114
53.937,29471,28263,45,25893
53.949,28186,28425,43,24721
53.961,28292,28985,51,25673
53.971,31033,30424,40,24455
53.983,31966,30727,60,24855
53.996,29986,29878,57,24481
54.009,28471,30619,46,24923
54.021,30787,29335,41,24046
54.034,31702,28547,40,24307
54.046,28793,31765,53,24536
54.059,30648,29853,53,24353
54.071,30789,30772,59,25277
54.084,31124,29509,57,25268
54.096,29439,28129,46,25536
54.109,28022,29992,49,24084
54.122,31753,30878,56,24623
54.134,28100,30496,56,24156
54.147,29674,28829,47,25958
54.159,30123,29821,57,25898
54.172,30502,30719,52,25167
54.185,30437,31396,51,25932
54.195,30067,29459,51,25537
54.207,29492,31635,40,25404
54.219,30386,30703,40,24992
54.232,30353,31562,45,25947
