timestamped_line
[02:26:52] [02:26:52] 52.04 | 28701 | 28521 | 60 | 24412
[02:26:52] [02:26:52] 52.053 | 31060 | 31270 | 48 | 25465
[02:26:52] [02:26:52] 52.066 | 30876 | 29159 | 54 | 24327
[02:26:52] [02:26:52] 52.08 | 31440 | 29846 | 54 | 25220
[02:26:52] [02:26:52] 52.091 | 31817 | 28454 | 53 | 24893
[02:26:52] [02:26:52] 52.104 | 31429 | 28240 | 42 | 24608
[02:26:52] [02:26:52] 52.117 | 28743 | 30536 | 57 | 24036
[02:26:52] [02:26:52] 52.129 | 29837 | 29100 | 53 | 24727
[02:26:52] [02:26:52] 52.141 | 29686 | 30215 | 59 | 24372
[02:26:52] [02:26:52] 52.153 | 29470 | 28257 | 49 | 25445
[02:26:52] [02:26:52] 52.163 | 31513 | 31543 | 41 | 25705
[02:26:52] [02:26:52] 52.176 | 28698 | 30561 | 57 | 25022
[02:26:52] [02:26:52] 52.188 | 28910 | 28008 | 41 | 25027
[02:26:52] [02:26:52] 52.2 | 29176 | 29556 | 42 | 24758
[02:26:52] [02:26:52] 52.213 | 28804 | 31606 | 54 | 25210
[02:26:52] [02:26:52] 52.225 | 29984 | 28054 | 49 | 25594
[02:26:52] [02:26:52] 52.238 | 28911 | 28346 | 49 | 25506
[02:26:52] [02:26:52] 52.25 | 28719 | 30348 | 52 | 24326
[02:26:52] [02:26:52] 52.263 | 30029 | 30186 | 49 | 24491
[02:26:52] [02:26:52] 52.275 | 28350 | 29668 | 45 | 24234
[02:26:52] [02:26:52] 52.286 | 29882 | 28005 | 46 | 25842
[02:26:52] [02:26:52] 52.298 | 29601 | 30264 | 46 | 25289
[02:26:52] [02:26:52] 52.309 | 30054 | 29670 | 56 | 25599
[02:26:52] [02:26:52] 52.319 | 31191 | 30911 | 41 | 25519
[02:26:52] [02:26:52] 52.332 | 28618 | 29486 | 57 | 24071
[02:26:52] [02:26:52] 52.344 | 30826 | 29226 | 56 | 24704
[02:26:52] [02:26:52] 52.357 | 28463 | 31542 | 56 | 25701
[02:26:52] [02:26:52] 52.369 | 28908 | 28067 | 52 | 24069
[02:26:52] [02:26:52] 52.381 | 28946 | 31818 | 46 | 25857
[02:26:52] [02:26:52] 52.394 | 29817 | 31401 | 46 | 24044
[02:26:52] [02:26:52] 52.407 | 31912 | 31309 | 43 | 24962
[02:26:52] [02:26:52] 52.42 | 30361 | 29024 | 58 | 24422
[02:26:52] [02:26:52] 52.43 | 28438 | 31804 | 50 | 24282
[02:26:52] [02:26:52] 52.443 | 29630 | 28767 | 52 | 24266
[02:26:52] [02:26:52] 52.455 | 30048 | 29760 | 58 | 25628
[02:26:52] [02:26:52] 52.465 | 31714 | 29710 | 45 | 24191
[02:26:52] [02:26:52] 52.478 | 31499 | 30287 | 58 | 25541
[02:26:52] [02:26:52] 52.491 | 30090 | 28077 | 48 | 24479
[02:26:52] [02:26:52] 52.503 | 28084 | 28410 | 42 | 25983
[02:26:52] [02:26:52] 52.516 | 31854 | 30087 | 46 | 25102
[02:26:52] [02:26:52] 52.528 | 29288 | 28436 | 40 | 24698
[02:26:52] [02:26:52] 52.541 | 28998 | 30781 | 40 | 25130
[02:26:52] [02:26:52] 52.553 | 28293 | 28043 | 43 | 25615
[02:26:52] [02:26:52] 52.564 | 31578 | 28925 | 47 | 25581
[02:26:52] [02:26:52] 52.575 | 31164 | 30800 | 41 | 25840
[02:26:52] [02:26:52] 52.588 | 30742 | 30817 | 56 | 24340
[02:26:52] [02:26:52] 52.601 | 31402 | 31724 | 50 | 25766
