Time(s),A,B,C,D
19.115,31148,31895,50,24338
19.128,30465,28762,59,24747
19.14,31539,29516,59,24146
19.15,31896,31557,59,24162
19.163,28278,29401,43,24085
19.175,29315,29552,52,24748
19.187,30467,30254,59,24600
19.2,30315,31541,54,24576
19.212,31897,30668,48,25468
19.223,30991,28287,53,25669
19.235,29443,31688,59,25957
19.248,29113,29554,44,25057
19.261,28388,30702,57,24948
19.273,29754,30537,56,24644
19.285,28794,29935,41,24283
19.298,28327,28406,42,25085
19.311,29936,30842,50,25701
19.323,30137,29672,49,24563
19.334,28070,31634,52,25774
19.347,31827,28662,53,25170
19.359,28969,31886,47,24403
19.372,28707,29382,48,25424
19.383,28694,31408,43,24594
19.395,29439,29693,44,25001
19.408,31225,30573,52,24442
19.421,28065,30597,47,24948
19.433,31961,31485,46,24455
19.446,28748,28178,43,25453
19.458,30572,31087,54,25785
19.471,30263,28360,51,25227
19.484,29341,28501,45,24207
19.496,30687,31973,49,24266
19.509,29994,31639,50,24741
19.521,30740,31664,46,24497
19.534,29342,31797,60,25866
19.547,30104,31803,41,24818
19.559,30289,31403,60,24213
19.572,31513,30990,48,24632
19.583,29750,28221,40,25693
19.596,30711,31891,49,25871
19.607,31572,30389,54,24826
19.62,29500,28954,52,25368
19.633,28723,31475,59,25195
19.643,28116,29017,53,24104
19.655,31748,30209,59,24547
19.668,29213,29548,44,25791
19.681,30415,28343,49,25389
19.693,31113,30988,44,24906
19.706,28581,28299,42,24652
19.716,31500,30228,48,25630
19.729,30681,28305,45,25209
19.742,29404,28914,50,24047
19.753,31306,31856,54,25946
19.765,31648,28980,53,25969
19.778,31411,28648,53,24126
19.791,29007,30759,52,24257
19.803,30598,30501,41,25182
19.815,28317,30265,52,25094
19.827,28522,28199,46,24099
19.84,31164,30235,57,25427
19.853,29132,30502,48,24658
19.864,31940,30532,43,24330
19.876,31192,29735,55,25388
19.889,31383,28048,53,25692
19.901,30887,29681,42,25407
19.914,29753,28118,55,24570
19.927,30730,29487,47,25955
19.939,29323,31262,47,24645
19.952,28894,30162,42,24350
19.965,29713,31327,56,25482
19.976,28050,29235,55,24977
19.989,29385,30954,57,25170
20.001,30219,28901,42,24298
20.014,29868,31223,41,25011
20.025,28920,28389,42,24558
20.038,31030,28701,49,24184
20.051,28268,28026,50,24156
20.061,29420,31831,58,25072
20.073,31404,28600,47,25382
20.086,28539,28490,44,25070
20.098,31643,30365,51,24458
20.111,30819,31357,44,24768
20.123,31030,28190,57,25679
20.135,30776,29270,44,24971
20.148,30557,28385,42,25540
20.161,30737,28362,42,25225
20.173,28125,28584,40,25443
20.184,29863,29347,54,25093
20.197,29615,28746,46,25629
20.209,31673,30894,55,25205
20.222,30287,30715,57,25982
20.234,29348,31613,42,25679
20.245,31079,30924,40,25255
20.255,30162,28237,59,25439
20.268,31158,29299,40,24064
20.28,31824,31934,58,24423
20.293,30264,31570,46,24494
20.305,29814,30789,57,25198
20.318,30991,28670,48,24637
20.33,31782,30284,44,25262
20.343,30812,29093,41,24372
20.356,31941,30135,59,25946
20.368,31283,29926,41,24334
20.381,30985,30072,41,25328
20.394,31779,30925,53,24796
20.406,28698,31095,47,25743
20.419,30219,29548,57,25649
20.431,28898,30370,49,25647
20.443,30982,29112,60,24009
20.456,30146,29661,50,24868
20.467,29710,30592,41,25628
20.477,29429,29449,40,25447
20.49,29560,30625,56,24798
20.503,29892,30183,52,24904
20.513,31334,30128,43,24255
20.526,31436,31216,43,24416
20.538,29524,29938,40,25339
20.551,29859,28055,47,25506
20.563,31434,29598,45,24912
20.575,29896,31552,60,25629
20.588,31040,30865,44,24800
20.598,28857,28035,55,24793
20.609,31289,29382,45,24650
20.62,30273,29636,52,24062
20.632,31959,28909,53,25169
20.644,28152,28887,40,25919
20.657,28870,28886,52,25306
20.669,28606,30107,43,25489
20.682,29076,28594,40,25747
20.694,30713,31569,60,24358
20.706,29891,28097,60,25899
20.719,29837,29085,53,25773
20.731,31772,29801,46,25052
20.743,31767,30323,56,24594
20.754,29049,29024,41,24543
20.766,29099,31902,56,25968
20.779,30445,30949,55,25593
20.79,29901,30256,59,25492
20.803,31120,31015,48,25930
20.821,28412,29850,53,24533
20.835,30131,30982,45,24749
20.851,28254,30769,47,24970
20.862,28021,28775,40,25218
20.873,29731,29247,52,25445
20.885,30432,29673,46,24328
20.898,29254,29831,40,24482
20.911,31005,28495,60,24631
20.923,29090,28522,47,25330
20.935,28938,30170,49,25595
20.947,29499,28066,51,25015
20.957,31063,28475,55,24736
20.97,30705,31560,56,24981
20.982,30441,28098,54,25575
20.994,30092,30334,49,25240
21.004,30643,28876,51,24588
21.017,30174,29347,49,25373
21.027,30037,31225,43,25475
21.039,31376,29395,49,25889
21.052,28448,29362,59,24945
21.064,29257,31780,55,24168
21.077,28735,29507,45,25868
21.089,30959,28780,43,24991
21.102,30594,28536,41,24414
21.115,29621,31885,49,25397
21.127,31585,31632,53,25093
21.14,30684,29813,53,25697
21.153,31858,28626,46,24088
21.164,30030,29828,60,24156
21.177,31047,29164,56,24731
21.189,28159,28321,55,25656
